Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,19200.36,4110.55,37500.00,10,0,27,0,12,0,7,0,1,0.0,84
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1632115.62,91804.24,472250.00,463,0,377,0,434,0,215,0,18,0.7695428566023582,1968
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,13364270.32,826742.65,1511000.00,1700,0,493,0,3545,0,609,0,48,0.8897727707363106,6036
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,39715.23,4995610.85,14171200.00,1253,247,0,735,0,1630,0,879,97,0.8659765924934316,8400
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,4431039.59,2109513.71,15489000.00,1615,0,703,0,1936,0,859,0,96,0.8879598838418263,8640
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,91634.10,5800574.73,15827000.00,1269,245,0,686,0,1750,0,843,96,0.850954725704633,8388
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,45886.75,4729539.24,16164000.00,1156,254,0,642,0,1578,0,812,97,0.842064677122456,8196
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,60406.02,4384921.22,17163300.00,1345,251,0,723,0,1469,0,849,96,0.8515274274854724,8232
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,74985.74,5010288.80,18106000.00,642,730,0,637,0,1550,0,749,98,0.8220177417591957,8364
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,25469943.28,0.00,0,2853,0,811,0,4979,0,624,5,2.2142590190175424,2052
